slug,title,description,emoji
persona1,Ropa Pokémon,"Bodys, pijamas con diseños de Charmander y Squirtle (tallas 0-6 meses)",🎁
persona2,Juguetes Pokémon,"Peluche y bloques temáticos",🧸
